,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
9059,1839,51,USA,m,married,n,112600,24h,When I arrived home from a hard day of work my dog jumped into my arms.,When I arrived home from a hard day of work my dog jumped into my arms.,True,1,affection,affection,1
9060,1839,51,USA,m,married,n,114600,24h,I received good news from my wife.,I received good news from my wife.,True,1,affection,affection,1
9072,1846,29,USA,f,married,n,72943,3m,Teaching my dog how to jump off of my bed when I tell him it is time for sleep.,Teaching my dog how to jump off of my bed when I tell him it is time for sleep.,True,1,affection,affection,1
9073,1846,29,USA,f,married,n,91035,3m,Buying my partner his first real watch.,Buying my partner his first real watch.,True,1,affection,affection,1
9075,1848,27,USA,f,married,n,54215,24h,It made me happy spending time with my sister and shopping.,It made me happy spending time with my sister and shopping.,True,1,affection,affection,1
9080,1851,40,USA,f,married,y,50724,24h,My daughter has been sick and had a fever.  Last night her fever finally broke which made me very happy. ,My daughter has been sick and had a fever.  Last night her fever finally broke which made me very happy. ,True,2,affection,affection,1
9081,1851,40,USA,f,married,y,87457,3m,My husband went shopping with me and was actually pleasant during the entire shopping trip.,My husband went shopping with me and was actually pleasant during the entire shopping trip.,True,1,affection,affection,1
9082,1851,40,USA,f,married,y,93084,3m,My husband was stopping to get something to eat and he took the time to text me and ask me if I needed anything. ,My husband was stopping to get something to eat and he took the time to text me and ask me if I needed anything. ,True,1,affection,affection,1
9090,1857,34,USA,f,married,y,42578,24h,My husband and I hung our DIY headboard.,My husband and I hung our DIY headboard.,True,1,affection,affection,1
9091,1857,34,USA,f,married,y,44432,24h,I was very happy watching my daughter hit softballs in the batting cage at practice.,I was very happy watching my daughter hit softballs in the batting cage at practice.,True,1,affection,affection,1
9092,1857,34,USA,f,married,y,46430,24h,I was very happy when my children were sleeping and my husband and I were able to discuss some important things we needed to discuss.,I was very happy when my children were sleeping and my husband and I were able to discuss some important things we needed to discuss.,True,1,affection,affection,1
9099,1863,31,USA,m,married,y,114936,24h,"My wife surprised me by bringing home dinner, saving me the trouble of cooking.","My wife surprised me by bringing home dinner, saving me the trouble of cooking.",True,1,affection,affection,1
9107,1869,74,USA,f,married,y,123603,24h,I watched Jeopardy with my husband.,I watched Jeopardy with my husband.,True,1,affection,affection,1
9120,1876,30,USA,f,married,y,44248,24h,"I went hiking with my husband, son, and dog.","I went hiking with my husband, son, and dog.",True,1,affection,affection,1
9121,1876,30,USA,f,married,y,76571,3m,My husband and I went to the movies.,My husband and I went to the movies.,True,1,affection,affection,1
9126,1882,31,USA,f,married,n,82896,3m,My husband brought home some really tasty tortilla chips.,My husband brought home some really tasty tortilla chips.,True,1,affection,affection,1
9135,1888,35,USA,m,married,y,48142,24h,I enjoyed playing Minecraft with my six year old son.,I enjoyed playing Minecraft with my six year old son.,True,1,affection,affection,1
9139,1890,30,USA,f,married,y,44517,24h,My daughter slept through the night for the second time since being born!,My daughter slept through the night for the second time since being born!,True,1,affection,affection,1
9140,1890,30,USA,f,married,y,124811,24h,I went to Bible study with my husband.,I went to Bible study with my husband.,True,1,affection,affection,1
9159,1905,33,USA,f,married,y,90080,3m,I drove down to get my mom yesterday from my sisters house (met her half way) and haven't seen my mom since she went down to florida in november.  That was really exciting getting to see her.,I drove down to get my mom yesterday from my sisters house (met her half way) and haven't seen my mom since she went down to florida in november.  That was really exciting getting to see her.,True,2,affection,affection,1
9165,1909,38,USA,m,married,y,89273,3m,My son can now follow simple directions.,My son can now follow simple directions.,True,1,affection,affection,1
9171,1914,27,USA,f,married,y,104308,3m,"Expanding my family (currently pregnant) looking for a second vehicle and things are not going as planned but my husband is doing extra things to ensure we will have a family vehicle before the baby arrives (selling items around the house, figuring ways to find a more affordable car, etc.)","Expanding my family (currently pregnant) looking for a second vehicle and things are not going as planned but my husband is doing extra things to ensure we will have a family vehicle before the baby arrives (selling items around the house, figuring ways to find a more affordable car, etc.)",True,1,affection,affection,1
9182,1918,32,USA,f,married,y,55671,24h,"My 4 month old daughter sat on the Easter Bunny's lap, and she looked up for the camera and didn't cry.","My 4 month old daughter sat on the Easter Bunny's lap, and she looked up for the camera and didn't cry.",True,1,affection,affection,1
9183,1918,32,USA,f,married,y,90251,3m,"We introduced our baby daughter to solid food, and she did very well. She anticipated the next spoonful each time we offered her one.","We introduced our baby daughter to solid food, and she did very well. She anticipated the next spoonful each time we offered her one.",True,2,affection,affection,1
9188,1923,27,USA,f,married,n,69447,3m,"My husband found out he got the job he had been applying for. The job is not only safer, oil field versus refinery, but it pays more. It also allows more time off.He and I can now spend more time together. I have less stress and him being happy makes me happy.","My husband found out he got the job he had been applying for. The job is not only safer, oil field versus refinery, but it pays more. It also allows more time off.He and I can now spend more time together. I have less stress and him being happy makes me happy.",True,4,affection,affection,1
9189,1923,27,USA,f,married,n,101455,3m,"I found out my sister was carrying her first child. She had lost three babies, preterm. It was a true miracle, they said she would never be able to carry a child this long.","I found out my sister was carrying her first child. She had lost three babies, preterm. It was a true miracle, they said she would never be able to carry a child this long.",True,3,affection,affection,1
9203,1929,40,USA,m,married,n,82480,3m,I went to park with my niece and nephew last weekend.,I went to park with my niece and nephew last weekend.,True,1,affection,affection,1
9212,1936,30,USA,f,married,y,83562,3m,My husband's work has finally picked back up and he is working more and we are receiving more reliable hours. It is so nice to not have to worry about how much he is going to work this week. The consistency is much needed.,My husband's work has finally picked back up and he is working more and we are receiving more reliable hours. It is so nice to not have to worry about how much he is going to work this week. The consistency is much needed.,True,3,affection,affection,1
9229,1949,24,USA,m,married,n,74610,3m,"My pet dog Golden retriever named Sony gave birth to 5 puppies a month ago, It was 3 male and 2 female puppies. I was very happy at that moment. ","My pet dog Golden retriever named Sony gave birth to 5 puppies a month ago, It was 3 male and 2 female puppies. I was very happy at that moment. ",True,2,affection,affection,1
9230,1950,31,USA,f,married,n,103730,3m,My husband took me out to eat at a nice restaurant.,My husband took me out to eat at a nice restaurant.,True,1,affection,affection,1
9233,1953,44,USA,m,married,n,123109,24h,My wife and I spent sometime at the mall and we took advantage of an unexpected good discount offered at one of the salons/spa in the mall.,My wife and I spent sometime at the mall and we took advantage of an unexpected good discount offered at one of the salons/spa in the mall.,True,1,affection,affection,1
9238,1956,37,USA,m,married,y,54956,24h,My daughter made a new friend in our neighborhood and I was introduced to her parents.,My daughter made a new friend in our neighborhood and I was introduced to her parents.,True,1,affection,affection,1
9240,1959,36,USA,m,married,y,33122,24h,I had lunch with my wife and daughter at my favorite Mexican restaurant.,I had lunch with my wife and daughter at my favorite Mexican restaurant.,True,1,affection,affection,1
9257,1975,39,USA,f,married,y,105209,3m,I was happy when my husband and kids got me flowers and gifts for Mother's Day.,I was happy when my husband and kids got me flowers and gifts for Mother's Day.,True,1,affection,affection,1
9281,1984,41,USA,o,married,n,75181,3m,The other day I made an amazing dinner with some fresh pasta that I had bought that was well received by my partner.,The other day I made an amazing dinner with some fresh pasta that I had bought that was well received by my partner.,True,1,affection,affection,1
9283,1988,29,USA,f,married,y,98660,3m,My husband made me breakfast. ,My husband made me breakfast. ,True,1,affection,affection,1
9299,2000,34,USA,m,married,y,119001,24h,My daughter graduated preschool,My daughter graduated preschool,True,1,affection,affection,1
9301,2001,49,USA,f,married,y,109944,24h,I was happy when my grandson woke me up to wish me a happy birthday.,I was happy when my grandson woke me up to wish me a happy birthday.,True,1,affection,affection,1
9304,2003,29,USA,f,married,n,126474,24h,I made dinner and my husband said it was yummy,I made dinner and my husband said it was yummy,True,1,affection,affection,1
9312,2010,34,USA,f,married,y,101162,3m,Watching my young sons (ages 6 and 4) doing sidewalk chalk drawings on our front porch while they waited for the ice cream truck to drive by so they could buy Popsicles. ,Watching my young sons (ages 6 and 4) doing sidewalk chalk drawings on our front porch while they waited for the ice cream truck to drive by so they could buy Popsicles. ,True,1,affection,affection,1
9320,2015,44,USA,f,married,y,71542,3m,Found out that my child received a fully paid internship for the summer.,Found out that my child received a fully paid internship for the summer.,True,1,affection,affection,1
9329,2023,42,USA,f,married,n,125012,24h,My husband got to come home from work 4 hours early and we spent the afternoon together.,My husband got to come home from work 4 hours early and we spent the afternoon together.,True,1,affection,affection,1
9333,2028,27,USA,f,married,y,64854,3m,I got to watch my kids have a lot of fun at an Easter Egg Hunt.,I got to watch my kids have a lot of fun at an Easter Egg Hunt.,True,1,affection,affection,1
9334,2028,27,USA,f,married,y,85987,3m,We visited our hometown as a family.,We visited our hometown as a family.,True,1,affection,affection,1
9335,2029,55,USA,m,married,n,27991,24h,When me and my wife shared pleasures. Both of us were very happy.,When me and my wife shared pleasures. Both of us were very happy.,True,2,affection,affection,1
9337,2031,36,USA,m,married,y,93471,3m,I finished my work early and had time to play with my kiddos.,I finished my work early and had time to play with my kiddos.,True,1,affection,affection,1
9344,2036,44,USA,f,married,y,51039,24h,"My husband renewed our Prime membership, so I would be able to go shopping for Easter. ","My husband renewed our Prime membership, so I would be able to go shopping for Easter. ",True,1,affection,affection,1
9345,2036,44,USA,f,married,y,71111,3m,My husband bought gas for our minivan yesterday so I wouldn't have to. ,My husband bought gas for our minivan yesterday so I wouldn't have to. ,True,1,affection,affection,1
9362,2048,53,USA,f,married,y,124368,24h,It was my son's birthday and we had a party for him.,It was my son's birthday and we had a party for him.,True,1,affection,affection,1
9372,2056,66,USA,m,married,y,56836,24h,We took the children to a local lake with walking path to fish and feed the geese and ducks. ,We took the children to a local lake with walking path to fish and feed the geese and ducks. ,True,1,affection,affection,1
9379,2061,39,USA,m,married,y,69004,3m,"My son turned two and we held a small party, he enjoyed it and the gifts we got him very much.","My son turned two and we held a small party, he enjoyed it and the gifts we got him very much.",True,1,affection,affection,1
9380,2062,43,USA,m,married,y,113581,24h,I had dinner with my wife.,I had dinner with my wife.,True,1,affection,affection,1
9381,2062,43,USA,m,married,y,114581,24h,I had a long conversation with my daughter about her last week of high school,I had a long conversation with my daughter about her last week of high school,True,1,affection,affection,1
9382,2063,23,USA,f,married,n,109064,3m,My mother-in-law randomly helped me and my husband out with our laundry for no reason.,My mother-in-law randomly helped me and my husband out with our laundry for no reason.,True,1,affection,affection,1
9384,2063,23,USA,f,married,n,120731,24h,A cat who used to spend a lot of time with me but hasn't as much lately came to hang out with me for a few minutes.,A cat who used to spend a lot of time with me but hasn't as much lately came to hang out with me for a few minutes.,True,1,affection,affection,1
9398,2075,31,USA,f,married,y,33213,24h,My husband told me how much he enjoyed the dinner that I had made.  It makes me feel good to prepare food that our family really enjoys.,My husband told me how much he enjoyed the dinner that I had made.  It makes me feel good to prepare food that our family really enjoys.,True,2,affection,affection,1
9410,2084,35,USA,m,married,y,40720,24h,My son won a band competition that their group has now won ten years in a row.,My son won a band competition that their group has now won ten years in a row.,True,1,affection,affection,1
9411,2084,35,USA,m,married,y,42520,24h,I ate a piece of my son's birthday cake.,I ate a piece of my son's birthday cake.,True,1,affection,affection,1
9414,2084,35,USA,m,married,y,84773,3m,My son got a new bike with gears and loved it; he rode it around without any problems.,My son got a new bike with gears and loved it; he rode it around without any problems.,True,1,affection,affection,1
9431,2096,32,USA,f,married,y,124296,24h,My middle son's birthday was this week and he was so anxious and excited about it.,My middle son's birthday was this week and he was so anxious and excited about it.,True,1,affection,affection,1
9435,2100,29,USA,m,married,y,69753,3m,I went to my nieces birthday party,I went to my nieces birthday party,True,1,affection,affection,1
9442,2108,46,USA,f,married,y,32830,24h,"My husband has been trying to lose weight for a while. He was stuck at the same weight for 3 days and was getting depressed. This morning he told me that he finally had dropped another pound. That made me happy because since I am the one that is controlling his diet, I knew I was doing something right.","My husband has been trying to lose weight for a while. He was stuck at the same weight for 3 days and was getting depressed. This morning he told me that he finally had dropped another pound. That made me happy because since I am the one that is controlling his diet, I knew I was doing something right.",True,4,affection,affection,1
9450,2114,34,USA,m,married,y,55755,24h,We took our kids to the park to play.,We took our kids to the park to play.,True,1,affection,affection,1
9451,2114,34,USA,m,married,y,57755,24h,My wife and I played darts.,My wife and I played darts.,True,1,affection,affection,1
9459,2122,28,USA,f,married,y,43817,24h,Went to a cat shelter and picked out a cat that we will adopt after she has been spayed. ,Went to a cat shelter and picked out a cat that we will adopt after she has been spayed. ,True,1,affection,affection,1
9466,2126,26,USA,m,married,n,126350,24h,I took my dog on a drive around town and she seemed really happy about it.,I took my dog on a drive around town and she seemed really happy about it.,True,1,affection,affection,1
9477,2135,36,USA,f,married,y,98721,3m,I just  walked around the neighborhood with my family . I got sweaty . I am happy with that,I just  walked around the neighborhood with my family . I got sweaty . I am happy with that,True,3,affection,affection,1
9478,2135,36,USA,f,married,y,116609,24h,my 1year and 2month baby boy show me some his new skills . ,my 1year and 2month baby boy show me some his new skills . ,True,1,affection,affection,1
9480,2139,36,USA,f,married,y,33358,24h,Listening to my 15 year old son listing things that he loves about himself,Listening to my 15 year old son listing things that he loves about himself,True,1,affection,affection,1
9485,2144,33,USA,f,married,y,67923,3m,My 1yo slept through the night without waking me up.,My 1yo slept through the night without waking me up.,True,1,affection,affection,1
9487,2148,60,USA,m,married,y,46408,24h,I love to sit and cuddle with my two cats ... they are adorable!,I love to sit and cuddle with my two cats ... they are adorable!,True,1,affection,affection,1
9489,2149,33,USA,f,married,n,106134,3m,A few weeks ago my husband and I went to dinner and had great conversation with his cousin and her boyfriend.,A few weeks ago my husband and I went to dinner and had great conversation with his cousin and her boyfriend.,True,1,affection,affection,1
9494,2152,28,USA,f,married,y,67496,3m,"About a week ago, my husband and I got to go see our baby on an ultrasound. The doctor was a little concerned that something might be wrong and wanted to check it out. Turned out everything was doing wonderful and it brought my husband and I great joy.","About a week ago, my husband and I got to go see our baby on an ultrasound. The doctor was a little concerned that something might be wrong and wanted to check it out. Turned out everything was doing wonderful and it brought my husband and I great joy.",True,3,affection,affection,1
9519,2170,37,USA,m,married,y,69243,3m,My daughter opened presents at her birthday and she was excited ,My daughter opened presents at her birthday and she was excited ,True,1,affection,affection,1
9520,2170,37,USA,m,married,y,80773,3m,My son made me a drawing to take to work ,My son made me a drawing to take to work ,True,1,affection,affection,1
9521,2170,37,USA,m,married,y,102087,3m,My son made the honor roll in school .,My son made the honor roll in school .,True,1,affection,affection,1
9523,2171,47,USA,f,married,y,35170,24h,My dog had been sick and she started feeling better.,My dog had been sick and she started feeling better.,True,1,affection,affection,1
9528,2177,43,USA,m,married,y,121819,24h,"My wife sent me a really nice picture while I was in the middle of working today, and it totally changed my mood for the better.","My wife sent me a really nice picture while I was in the middle of working today, and it totally changed my mood for the better.",True,1,affection,affection,1
9531,2181,27,USA,m,married,y,103576,3m,My wife gave birth to a healthy baby boy despite my persisting worry that something would go wrong.,My wife gave birth to a healthy baby boy despite my persisting worry that something would go wrong.,True,1,affection,affection,1
9532,2181,27,USA,m,married,y,111803,24h,"My toddler son accidentally ""passing gas"" while ""shaking his booty"" in the kitchen. ","My toddler son accidentally ""passing gas"" while ""shaking his booty"" in the kitchen. ",True,1,affection,affection,1
9539,2186,42,USA,f,married,y,29067,24h,When I played with my daughter,When I played with my daughter,True,1,affection,affection,1
9546,2190,30,USA,m,married,y,86039,3m,I was happy when my kid read a book to me a few nights ago.,I was happy when my kid read a book to me a few nights ago.,True,1,affection,affection,1
9550,2196,22,USA,m,married,y,114175,24h,My child told me she loved me and that i was her best friend.,My child told me she loved me and that i was her best friend.,True,1,affection,bonding,1
9552,2200,64,USA,f,married,y,63882,3m,WHEN MY GRAND CHILDREN CAME TO VISIT ME ,WHEN MY GRAND CHILDREN CAME TO VISIT ME ,True,1,affection,affection,1
9555,2203,27,USA,f,married,n,29485,24h,I was able to take my cat out for a walk while the sky was clear.,I was able to take my cat out for a walk while the sky was clear.,True,1,affection,affection,1
9560,2207,23,USA,f,married,n,74494,3m,My mother-in-law bought me a new set of towels a few weeks ago.,My mother-in-law bought me a new set of towels a few weeks ago.,True,1,affection,affection,1
9561,2207,23,USA,f,married,n,99233,3m,I hung out with my nieces and sisters today. ,I hung out with my nieces and sisters today. ,True,1,affection,affection,1
9564,2209,43,USA,f,married,y,67958,3m,Last week my kids had one of the best shows their band has had. It made me happy because this is their dream and seeing their faces with the looks that they knew they had done it was great. ,Last week my kids had one of the best shows their band has had. It made me happy because this is their dream and seeing their faces with the looks that they knew they had done it was great. ,True,2,affection,affection,1
9595,2232,28,USA,m,married,n,42340,24h,"It was my nephew's 5 year Birthday party. I always enjoy going to family events, my wife and I are close to our families. Spending time with her nephew makes my wife smile a lot and it makes me very happy to see her happy.","It was my nephew's 5 year Birthday party. I always enjoy going to family events, my wife and I are close to our families. Spending time with her nephew makes my wife smile a lot and it makes me very happy to see her happy.",True,3,affection,affection,1
9597,2232,28,USA,m,married,n,75956,3m,My wife got accepted to medical school,My wife got accepted to medical school,True,1,affection,affection,1
9599,2233,37,USA,m,married,n,55932,24h,I went to visit my niece and played all day. ,I went to visit my niece and played all day. ,True,1,affection,affection,1
9608,2240,55,USA,f,married,y,38441,24h,My other daughter finally made an important decision about her upcoming wedding.,My other daughter finally made an important decision about her upcoming wedding.,True,1,affection,affection,1
9609,2240,55,USA,f,married,y,69170,3m,I was told I will be a grandma for the first time!,I was told I will be a grandma for the first time!,True,1,affection,affection,1
9618,2247,33,USA,m,married,n,62374,3m,"I made a roti and served it to mother.

She made 3 parts of it, one for my sister, one for my father and one for herself.

They all had their parts and I was observing them with suspense about comments.

Sister chuckled, Your wife is lucky, you can feed her deliciously.

Father giggled, Your Gf must have said you to learn cooking this morning.

Mother was little emotional, she said, My son has grown up. Roti is sweet!

She was happy. Everyone was happy.

It made me happy.","I made a roti and served it to mother.

She made 3 parts of it, one for my sister, one for my father and one for herself.

They all had their parts and I was observing them with suspense about comments.

Sister chuckled, Your wife is lucky, you can feed her deliciously.

Father giggled, Your Gf must have said you to learn cooking this morning.

Mother was little emotional, she said, My son has grown up. Roti is sweet!

She was happy. Everyone was happy.

It made me happy.",True,10,affection,affection,1
9623,2253,40,USA,m,married,y,86433,3m,My daughter's good grades made me happy because she worked really hard this past term and was struggling in math,My daughter's good grades made me happy because she worked really hard this past term and was struggling in math,True,1,affection,affection,1
9624,2253,40,USA,m,married,y,87433,3m,My daughter made me happy making dinner for us because she wanted to do something nice for us because she loved us.,My daughter made me happy making dinner for us because she wanted to do something nice for us because she loved us.,True,1,affection,affection,1
9636,2265,33,USA,f,married,y,115723,24h,"My children finished the homework alone, without my help, I feel proud","My children finished the homework alone, without my help, I feel proud",True,1,affection,affection,1
9649,2275,67,USA,f,married,y,42369,24h,"My sister, my brother and wife, my husband and myself went out to supper together. We three siblings don't get to spend lots of time together, so we enjoy the time we have. And, the good was good.","My sister, my brother and wife, my husband and myself went out to supper together. We three siblings don't get to spend lots of time together, so we enjoy the time we have. And, the good was good.",True,3,affection,affection,1
9650,2275,67,USA,f,married,y,43269,24h,"Sunday evening, my husband went out to eat. We got married on the second of September many years ago. We began a tradition, even when money was VERY tight, to celebrate the second of each month. We still do. ","Sunday evening, my husband went out to eat. We got married on the second of September many years ago. We began a tradition, even when money was VERY tight, to celebrate the second of each month. We still do. ",True,4,affection,affection,1
9656,2284,52,USA,f,married,y,92857,3m,Hearing my daughter play on her new ukulele.,Hearing my daughter play on her new ukulele.,True,1,affection,affection,1
9667,2295,60,USA,f,married,y,58448,3m,I visited my daughter & granddaughters in New York.,I visited my daughter & granddaughters in New York.,True,1,affection,affection,1
9669,2296,37,USA,f,married,n,51937,24h,I really surprised my husband by making some extra cash on Amazon Turk yesterday as he was sleeping.  ,I really surprised my husband by making some extra cash on Amazon Turk yesterday as he was sleeping.  ,True,1,affection,affection,1
9670,2296,37,USA,f,married,n,85545,3m,My husband and my mother had a birthday dinner/party for me at one of our favorite restaurants and several of my cousins came.  ,My husband and my mother had a birthday dinner/party for me at one of our favorite restaurants and several of my cousins came.  ,True,1,affection,affection,1
9688,2306,28,USA,f,married,y,32311,24h,my husband actually came into some money from a past employer. they ended on bad terms and they owed him money when he left the job. we had pretty much given up on the idea of getting the money when we got a check in the mail. i went to get the sales papers from the mail box and what do ya know?! there was a big fat check in there. that really made my day. i felt like all of our problems were solved right then. a stress just lifted off of my shoulders and i called my husband to tell him we were going out to celebrate!,my husband actually came into some money from a past employer. they ended on bad terms and they owed him money when he left the job. we had pretty much given up on the idea of getting the money when we got a check in the mail. i went to get the sales papers from the mail box and what do ya know?! there was a big fat check in there. that really made my day. i felt like all of our problems were solved right then. a stress just lifted off of my shoulders and i called my husband to tell him we were going out to celebrate!,True,8,affection,affection,1
9709,2325,56,USA,f,married,y,34212,24h,What made me really happy is that my daughter got a job offer for a great position she really wanted.,What made me really happy is that my daughter got a job offer for a great position she really wanted.,True,1,affection,affection,1
9714,2329,32,USA,f,married,n,32794,24h,It made me happy to hear about my husband's day at work when he described it to me yesterday. ,It made me happy to hear about my husband's day at work when he described it to me yesterday. ,True,1,affection,affection,1
9717,2334,32,USA,f,married,y,96322,3m,My son made me a beautiful painting.,My son made me a beautiful painting.,True,1,affection,affection,1
9719,2334,32,USA,f,married,y,127149,24h,My husband surprised me by bringing me flowers,My husband surprised me by bringing me flowers,True,1,affection,affection,1
9720,2335,29,USA,f,married,y,47296,24h,My husband and I got a new roof put on that our insurance paid for.,My husband and I got a new roof put on that our insurance paid for.,True,1,affection,affection,1
9722,2335,29,USA,f,married,y,94106,3m,I had a nice birthday party for my son at my house. There was a large turn-out and I was so happy for him. He was in a great mood and was smiling so much and had fun with his friends.,I had a nice birthday party for my son at my house. There was a large turn-out and I was so happy for him. He was in a great mood and was smiling so much and had fun with his friends.,True,3,affection,affection,1
9729,2338,33,USA,f,married,y,88399,3m,Turking enough money to get my kids some birthday presents.,Turking enough money to get my kids some birthday presents.,True,1,affection,affection,1
9730,2338,33,USA,f,married,y,89399,3m,"My son finished the last segment of a state test today. He felt pretty good the entire time, and hopes to get a great score.","My son finished the last segment of a state test today. He felt pretty good the entire time, and hopes to get a great score.",True,2,affection,affection,1
9741,2346,27,USA,f,married,n,126222,24h,"My cats came and cuddled with me, including the male the cat that does not like the cuddle much.","My cats came and cuddled with me, including the male the cat that does not like the cuddle much.",True,1,affection,affection,1
9743,2348,60,USA,m,married,y,50586,24h,I spent the day touring Maymont park with my son and his family,I spent the day touring Maymont park with my son and his family,True,1,affection,affection,1
9750,2352,24,USA,f,married,n,44475,24h,"This happened yesterday evening, and it may really seem like a petty, insignificant thing to most people. I have been really tired due to traveling and uneven sleeping patterns. My neck and shoulders have really been tense and uncomfortable. My husband noted this, as I was rubbing my right shoulder and twisting my neck to relieve the tension to no avail. He offered to give me a massage, and I was thrilled to bits. I fell asleep while he was loosing up knots, and though it was somewhat painful, it was much needed. I woke up this morning feeling so loose and hardly no tension in my neck and shoulders. This is so great! That pain was bothering me for days!","This happened yesterday evening, and it may really seem like a petty, insignificant thing to most people. I have been really tired due to traveling and uneven sleeping patterns. My neck and shoulders have really been tense and uncomfortable. My husband noted this, as I was rubbing my right shoulder and twisting my neck to relieve the tension to no avail. He offered to give me a massage, and I was thrilled to bits. I fell asleep while he was loosing up knots, and though it was somewhat painful, it was much needed. I woke up this morning feeling so loose and hardly no tension in my neck and shoulders. This is so great! That pain was bothering me for days!",True,9,affection,affection,1
9751,2353,35,USA,m,married,y,124374,24h,"My son learned how to say ""turtle"", a big deal because he's very young.","My son learned how to say ""turtle"", a big deal because he's very young.",True,1,affection,affection,1
9755,2355,43,USA,f,married,y,64518,3m,My stepson decided to live with us.,My stepson decided to live with us.,True,1,affection,affection,1
9762,2359,24,USA,m,married,n,73166,3m,I engaged in coitus with the wife.,I engaged in coitus with the wife.,True,1,affection,affection,1
9819,2410,30,USA,f,married,y,43594,24h,I found out that my sister in law is pregnant.,I found out that my sister in law is pregnant.,True,1,affection,affection,1
9820,2410,30,USA,f,married,y,45592,24h,"It's almost spring break, which means my husband is going to be home for a whole week!","It's almost spring break, which means my husband is going to be home for a whole week!",True,1,affection,affection,1
9824,2415,27,USA,m,married,y,76353,3m,I played outside in the sunshine with my little girl.,I played outside in the sunshine with my little girl.,True,1,affection,affection,1
9842,2433,33,USA,f,married,n,95076,3m,"I had a miscarriage, ended up in the ER and my husband took very good care of me during and afterwards. ","I had a miscarriage, ended up in the ER and my husband took very good care of me during and afterwards. ",True,1,affection,affection,1
9844,2433,33,USA,f,married,n,102035,3m,My husband and I received a very encouraging prophetic word over our lives. ,My husband and I received a very encouraging prophetic word over our lives. ,True,1,affection,affection,1
9845,2433,33,USA,f,married,n,103355,3m,My husband and I thought the transmission was shot on the car and realized that there was just a nut that needed to be tightened. ,My husband and I thought the transmission was shot on the car and realized that there was just a nut that needed to be tightened. ,True,1,affection,affection,1
9847,2437,31,USA,m,married,y,42712,24h,Taking my son to a home depot to build an easter egg basket.,Taking my son to a home depot to build an easter egg basket.,True,1,affection,affection,1
9848,2437,31,USA,m,married,y,81408,3m,"My wife cut her finger very badly and when she came home from the urgent care, I was very relieved and happy that her finger was going to heal normally.","My wife cut her finger very badly and when she came home from the urgent care, I was very relieved and happy that her finger was going to heal normally.",True,1,affection,affection,1
9849,2438,53,USA,f,married,y,86158,3m,"My parents came to visit me and we went trout fishing out at the lake for two days, we caught some fish, had some laughs and it was very enjoyable.","My parents came to visit me and we went trout fishing out at the lake for two days, we caught some fish, had some laughs and it was very enjoyable.",True,1,affection,affection,1
9855,2443,46,USA,m,married,y,99942,3m,I saw my 3 year old son play on a trampoline.,I saw my 3 year old son play on a trampoline.,True,1,affection,affection,1
9880,2464,41,USA,f,married,y,128198,24h,My husband asked me to sing a song at church.,My husband asked me to sing a song at church.,True,1,affection,affection,1
9887,2468,39,USA,f,married,y,74388,3m,I was happy and am actually still happy about my son kicking 8 goals in his second ever soccer game a week ago.,I was happy and am actually still happy about my son kicking 8 goals in his second ever soccer game a week ago.,True,1,affection,affection,1
9888,2468,39,USA,f,married,y,76384,3m,I was happy when my husband and I performed well at our church's Easter concert.,I was happy when my husband and I performed well at our church's Easter concert.,True,1,affection,affection,1
9889,2468,39,USA,f,married,y,100734,3m,It made me happy when my daughter told me I was her best friend.,It made me happy when my daughter told me I was her best friend.,True,1,affection,affection,1
9890,2468,39,USA,f,married,y,101734,3m,It made me happy when I had a date night with my husband.,It made me happy when I had a date night with my husband.,True,1,affection,affection,1
9899,2478,42,USA,f,married,y,85523,3m,My kids telling me they love me.,My kids telling me they love me.,True,1,affection,affection,1
9900,2479,35,USA,f,married,n,67500,3m,I went to the San Antonio missions with my father who was visiting from out of town soI packed a picnic lunch and we enjoyed a glorious afternoon walking among the grounds of the different ruins.,I went to the San Antonio missions with my father who was visiting from out of town soI packed a picnic lunch and we enjoyed a glorious afternoon walking among the grounds of the different ruins.,True,1,affection,affection,1
9907,2483,30,USA,m,married,y,110163,24h,My daughter said something that sounded like mama.,My daughter said something that sounded like mama.,True,1,affection,affection,1
9909,2483,30,USA,m,married,y,117588,24h,My son did very good at school today and I am told that he is several grades ahead in reading.,My son did very good at school today and I am told that he is several grades ahead in reading.,True,1,affection,affection,1
9916,2492,51,USA,m,married,y,80654,3m,I got married in New Orleans and had a wonderful time with my wife.,I got married in New Orleans and had a wonderful time with my wife.,True,1,affection,affection,1
9917,2492,51,USA,m,married,y,98603,3m,"My wife and I took our older daughters to see ""Hamilton"" in New York this past weekend; we all loved it.","My wife and I took our older daughters to see ""Hamilton"" in New York this past weekend; we all loved it.",True,1,affection,affection,1
9918,2493,31,USA,m,married,n,38718,24h,My wife made me dinner last night. ,My wife made me dinner last night. ,True,1,affection,affection,1
9919,2494,43,USA,m,married,y,41466,24h,"I watched my eighteen month old son run around the house, chasbg the cat, and yelling, ""kitty!"".","I watched my eighteen month old son run around the house, chasing the cat, and yelling, ""kitty!"".",False,2,affection,affection,1
