,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
8759,1686,21,USA,m,single,n,89157,3m,I got my degree,I got my degree,True,1,achievement,achievement,1
8761,1687,23,USA,m,single,n,80470,3m,I got a huge Mturk bonus from a hit that I didn't remember.,I got a huge Mturk bonus from a hit that I didn't remember.,True,1,achievement,achievement,1
8764,1688,22,USA,m,single,n,52480,24h,Attached a front lip to the bumper of my sports car.,Attached a front lip to the bumper of my sports car.,True,1,achievement,achievement,1
8768,1691,22,USA,m,single,n,101313,3m,I found a quarter on the ground to use for laundry.,I found a quarter on the ground to use for laundry.,True,1,achievement,achievement,1
8770,1691,22,USA,m,single,n,109214,3m,I made a batch of cookies.,I made a batch of cookies.,True,1,achievement,achievement,1
8773,1692,23,USA,f,single,n,71483,3m,An event that made me happy was taking my last exam last week. I will be graduating and it is the start of a new chapter in my life. ,An event that made me happy was taking my last exam last week. I will be graduating and it is the start of a new chapter in my life. ,True,2,achievement,achievement,1
8774,1693,26,USA,m,single,n,32850,24h,We finished moving our large non essential possessions to our new home!,We finished moving our large non essential possessions to our new home!,True,1,achievement,achievement,1
8781,1695,37,USA,f,single,n,106105,3m,I had completed a milestone at work! I'm very proud of myself!,I had completed a milestone at work! I'm very proud of myself!,True,2,achievement,achievement,1
8785,1697,24,USA,m,single,n,36020,24h,Being able to pay bills on time this week.,Being able to pay bills on time this week.,True,1,achievement,achievement,1
8786,1697,24,USA,m,single,n,96643,3m,My puppy learned how to sit on command.,My puppy learned how to sit on command.,True,1,achievement,affection,1
8788,1699,38,USA,f,single,y,35482,24h,I finally sold an item on eBay today.,I finally sold an item on eBay today.,True,1,achievement,achievement,1
8796,1702,19,USA,f,single,n,112665,24h,I got to sleep in my own bed after several days of sleeping on a couch.,I got to sleep in my own bed after several days of sleeping on a couch.,True,1,achievement,achievement,1
8798,1703,25,USA,f,single,n,53138,24h,I made myself a healthy lunch,I made myself a healthy lunch,True,1,achievement,achievement,1
8799,1703,25,USA,f,single,n,86260,3m,A student complimented my outfit,A student complimented my outfit,True,1,achievement,achievement,1
8800,1703,25,USA,f,single,n,88260,3m,I saved up enough money for a game I really wanted,I saved up enough money for a game I really wanted,True,1,achievement,achievement,1
8812,1713,24,USA,f,single,n,30539,24h,I got to leave the time-zone I was born in for the first time.,I got to leave the time-zone I was born in for the first time.,True,1,achievement,achievement,1
8825,1718,66,USA,f,single,n,84059,3m,"I lost 4 pounds. I know that doesn't sound like a lot, but I'm 66, and was beginning to think I was NEVER going to lose another pound, and refuse to die ""fat.""","I lost 4 pounds. I know that doesn't sound like a lot, but I'm 66, and was beginning to think I was NEVER going to lose another pound, and refuse to die ""fat.""",True,2,achievement,achievement,1
8827,1718,66,USA,f,single,n,122229,24h,"I'm happy I got at least 530 good words written today on a 1000 word essay I'm writing (""Pin Ball President"") about Donald Trump.","I'm happy I got at least 530 good words written today on a 1000 word essay I'm writing (""Pin Ball President"") about Donald Trump.",True,1,achievement,achievement,1
8839,1722,39,USA,m,single,n,95415,3m,I got my house to pass code inspection. ,I got my house to pass code inspection. ,True,1,achievement,achievement,1
8852,1728,22,USA,m,single,n,82563,3m,I had a final exam for one of my classes the other day and felt very good about how I answered the questions. Others seemed to have problems with it but I felt confident I did well.,I had a final exam for one of my classes the other day and felt very good about how I answered the questions. Others seemed to have problems with it but I felt confident I did well.,True,2,achievement,achievement,1
8862,1735,23,USA,f,single,n,42690,24h,I went shopping and found a dress for my graduation ceremony.,I went shopping and found a dress for my graduation ceremony.,True,1,achievement,achievement,1
8863,1735,23,USA,f,single,n,67627,3m,I graduated with my masters degree and participated in the graduation ceremony.,I graduated with my masters degree and participated in the graduation ceremony.,True,1,achievement,achievement,1
8865,1735,23,USA,f,single,n,108936,3m,I got a new kitten,I got a new kitten,True,1,achievement,achievement,1
8877,1742,23,USA,m,single,n,68043,3m,I got a new pair of shoes.,I got a new pair of shoes.,True,1,achievement,achievement,1
8878,1742,23,USA,m,single,n,70043,3m,I lost 10 pounds.,I lost 10 pounds.,True,1,achievement,achievement,1
8896,1748,25,USA,m,single,n,64777,3m,I bought a new laptop.,I bought a new laptop.,True,1,achievement,achievement,1
8898,1749,30,USA,m,single,n,68776,3m,Finding out I can transfer locations for my job.,Finding out I can transfer locations for my job.,True,1,achievement,achievement,1
8900,1750,25,USA,m,single,n,86033,3m,I was really happy when I finally got my tax refund .,I was really happy when I finally got my tax refund .,True,1,achievement,achievement,1
8901,1750,25,USA,m,single,n,97040,3m,Promotion board at work.,Promotion board at work.,True,1,achievement,achievement,1
8904,1751,30,USA,m,single,n,100971,3m,I am finally able to fit into my old clothes after dieting for 2 months. ,I am finally able to fit into my old clothes after dieting for 2 months. ,True,1,achievement,achievement,1
8905,1751,30,USA,m,single,n,116364,24h,I made my final student loan payment last night. ,I made my final student loan payment last night. ,True,1,achievement,achievement,1
8910,1753,26,USA,f,single,y,65604,3m,I reached a new career high in Overwatch.,I reached a new career high in Overwatch.,True,1,achievement,achievement,1
8914,1755,26,USA,f,single,n,33367,24h,"I was happy because I was moved to a different shift and got to work at Memorial Stadium in Lincoln, NE!","I was happy because I was moved to a different shift and got to work at Memorial Stadium in Lincoln, NE!",True,1,achievement,achievement,1
8916,1755,26,USA,f,single,n,47169,24h,I discovered I had gotten a raise yesterday and didn't even know it!,I discovered I had gotten a raise yesterday and didn't even know it!,True,1,achievement,achievement,1
8920,1757,27,USA,m,single,n,126420,24h,I found a quarter on the ground outside of my apartment.,I found a quarter on the ground outside of my apartment.,True,1,achievement,achievement,1
8924,1759,33,USA,m,single,n,68632,3m,I finished a chapter to a story and submitted it to a website.,I finished a chapter to a story and submitted it to a website.,True,1,achievement,achievement,1
8925,1759,33,USA,m,single,n,74887,3m,I got paid for doing a job,I got paid for doing a job,True,1,achievement,achievement,1
8926,1759,33,USA,m,single,n,88261,3m,I did 30 HITs on MTURK.,I did 30 HITs on MTURK.,True,1,achievement,achievement,1
8946,1767,28,USA,f,single,y,117314,24h,I bought an awesome new vacuum that really cleans so well!,I bought an awesome new vacuum that really cleans so well!,True,1,achievement,achievement,1
8953,1770,24,USA,m,single,n,78343,3m,I learned a new trick on my skateboard.,I learned a new trick on my skateboard.,True,1,achievement,achievement,1
8956,1770,24,USA,m,single,n,126505,24h,I transferred money into my bank account.,I transferred money into my bank account.,True,1,achievement,achievement,1
8959,1771,21,USA,m,single,n,54652,24h,The realization that there are only three weeks left until I graduate college.,The realization that there are only three weeks left until I graduate college.,True,1,achievement,achievement,1
8967,1776,21,USA,f,single,n,55492,24h,"I bought my graduation announcements, which makes graduation feel super close! I have one month to go!","I bought my graduation announcements, which makes graduation feel super close! I have one month to go!",True,2,achievement,achievement,1
8969,1777,27,USA,m,single,n,110148,24h,I finally obtained a dresser to put my clothes in. I was having a hard time storing these things but I finally got a dresser that essentially works as a night stand as well (which I also really wanted). Makes my room look less like a mess as well. It's great all around.,I finally obtained a dresser to put my clothes in. I was having a hard time storing these things but I finally got a dresser that essentially works as a night stand as well (which I also really wanted). Makes my room look less like a mess as well. It's great all around.,True,4,achievement,achievement,1
8975,1780,29,USA,m,single,n,102731,3m,I ranked up in competitive play in Overwatch.,I ranked up in competitive play in Overwatch.,True,1,achievement,achievement,1
8982,1783,26,USA,m,single,n,80568,3m,I got a part-time job at game-stop.,I got a part-time job at game-stop.,True,1,achievement,achievement,1
8990,1785,31,USA,f,single,n,123960,24h,A drive on my computer was corrupted but I was able to fix it. ,A drive on my computer was corrupted but I was able to fix it. ,True,1,achievement,achievement,1
9010,1795,20,USA,m,single,n,95542,3m,I was able to find a good deal on car parts that I have been looking for for a while now.,I was able to find a good deal on car parts that I have been looking for for a while now.,True,1,achievement,achievement,1
9012,1797,23,USA,f,single,n,105134,3m,I bought a new pair of boots at a discount price. ,I bought a new pair of boots at a discount price. ,True,1,achievement,achievement,1
9021,1804,32,USA,m,single,n,47533,24h,I cleaned up some old rusty equipment by soaking them in vinegar and found out it works very well.,I cleaned up some old rusty equipment by soaking them in vinegar and found out it works very well.,True,1,achievement,achievement,1
9026,1810,28,USA,f,single,n,75374,3m,I bought a new tiny washing machine so I do not have to hand wash clothing anymore. ,I bought a new tiny washing machine so I do not have to hand wash clothing anymore. ,True,1,achievement,achievement,1
9027,1810,28,USA,f,single,n,77370,3m,I got a really good deal on someone to cut downs trees from my yard. ,I got a really good deal on someone to cut downs trees from my yard. ,True,1,achievement,achievement,1
9037,1818,42,USA,f,single,y,57192,24h,"At work yesterday, I managed to sign up three new customers for our service.","At work yesterday, I managed to sign up three new customers for our service.",True,1,achievement,achievement,1
9055,1834,29,USA,m,single,n,82444,3m,"I bought a new pc , it cost a lot of money but it was a dream for a while.","I bought a new pc , it cost a lot of money but it was a dream for a while.",True,1,achievement,achievement,1
9057,1837,38,USA,m,single,n,82361,3m,My mother unexpectedly gave me $100.,My mother unexpectedly gave me $100.,True,1,achievement,affection,1
9068,1842,32,USA,m,single,n,122173,24h,I was able to get everything on my shopping list.,I was able to get everything on my shopping list.,True,1,achievement,achievement,1
9069,1842,32,USA,m,single,n,123173,24h,I purchased a ticket to a show I wanted to see really bad.,I purchased a ticket to a show I wanted to see really bad.,True,1,achievement,achievement,1
9071,1845,72,USA,m,single,y,86453,3m,I took my car in for servicing because I was concerned about a noise I was hearing whenever I was backing up. Turned out it was minor and fixed without a charge as the car is under warranty.,I took my car in for servicing because I was concerned about a noise I was hearing whenever I was backing up. Turned out it was minor and fixed without a charge as the car is under warranty.,True,2,achievement,achievement,1
9074,1847,35,USA,m,single,n,93511,3m,I found out my car only needed a minor repair instead of the large repair I thought it needed.,I found out my car only needed a minor repair instead of the large repair I thought it needed.,True,1,achievement,achievement,1
9083,1852,34,USA,m,single,y,120301,24h,I was able to get all my chores done before the end of the day.,I was able to get all my chores done before the end of the day.,True,1,achievement,achievement,1
9085,1852,34,USA,m,single,y,126781,24h,I found a 20 dollar bill that was left somewhere in my drawer. I don't remember how it got there.,I found a 20 dollar bill that was left somewhere in my drawer. I don't remember how it got there.,True,2,achievement,achievement,1
9100,1864,33,USA,m,single,n,57143,24h,I found some apple pie at the store that I like.,I found some apple pie at the store that I like.,True,1,achievement,achievement,1
9101,1864,33,USA,m,single,n,75416,3m,I was happy when I got my income tax return deposit.,I was happy when I got my income tax return deposit.,True,1,achievement,achievement,1
9109,1870,27,USA,m,single,n,71604,3m,I passed my capstone with distinction,I passed my capstone with distinction,True,1,achievement,achievement,1
9111,1873,25,USA,m,single,n,94718,3m,I recently graduated from college.,I recently graduated from college.,True,1,achievement,achievement,1
9127,1883,29,USA,m,single,n,104072,3m,I worked with my neighbors to fix up my building.,I worked with my neighbors to fix up my building.,True,1,achievement,achievement,1
9128,1883,29,USA,m,single,n,105071,3m,"I was entrusted with a big, important, new task at work, which made me feel like I was doing a good job with the rest of my portfolio.","I was entrusted with a big, important, new task at work, which made me feel like I was doing a good job with the rest of my portfolio.",True,1,achievement,achievement,1
9131,1885,26,USA,f,single,n,105210,3m,"I love to bake, and I made a cheesecake that came out perfectly. My roommates raved about it and even the one that doesn't like sweets enjoyed it.","I love to bake, and I made a cheesecake that came out perfectly. My roommates raved about it and even the one that doesn't like sweets enjoyed it.",True,2,achievement,achievement,1
9133,1886,31,USA,m,single,n,122506,24h,I started studying more to further along my web programming work opportunities.,I started studying more to further along my web programming work opportunities.,True,1,achievement,achievement,1
9141,1892,25,USA,m,single,n,58732,3m,"I took myself to DisneyWorld,  I saved up the money and planned the whole vacation by myself.  I was proud that I was able to accomplish that.","I took myself to DisneyWorld,  I saved up the money and planned the whole vacation by myself.  I was proud that I was able to accomplish that.",True,2,achievement,achievement,1
9144,1893,21,USA,m,single,n,34432,24h,I finished the actual test in question 1.,I finished the actual test in question 1.,True,1,achievement,achievement,1
9145,1893,21,USA,m,single,n,91920,3m,I got a good grade on a test that I studied for.,I got a good grade on a test that I studied for.,True,1,achievement,achievement,1
9150,1900,24,USA,f,single,n,105230,3m,On Monday I completed a difficult task at work without needing any help or guidance.,On Monday I completed a difficult task at work without needing any help or guidance.,True,1,achievement,achievement,1
9177,1916,24,USA,m,single,n,119228,24h,Finishing my book.,Finishing my book.,True,1,achievement,achievement,1
9180,1917,24,USA,m,single,n,101429,3m,I moved out of my office 45 minutes away to work closer to home.,I moved out of my office 45 minutes away to work closer to home.,True,1,achievement,achievement,1
9185,1921,26,USA,m,single,n,33458,24h,I received my letter of admission in the mail to the University that I applied to.,I received my letter of admission in the mail to the University that I applied to.,True,1,achievement,achievement,1
9186,1922,28,USA,m,single,n,106823,3m,Something that made me happy recently is noticing that my strength has gone up in my lifts for weightlifting. I have been struggling to see gains in this department and am happy to finally see it happening.,Something that made me happy recently is noticing that my strength has gone up in my lifts for weightlifting. I have been struggling to see gains in this department and am happy to finally see it happening.,True,2,achievement,achievement,1
9193,1925,28,USA,m,single,n,98045,3m,I felt happy the day that I finished school.,I felt happy the day that I finished school.,True,1,achievement,achievement,1
9194,1925,28,USA,m,single,n,100687,3m,I decided to quit drinking and so far it has made me happy.,I decided to quit drinking and so far it has made me happy.,True,1,achievement,achievement,1
9197,1926,23,USA,m,single,n,97070,3m,"My car needed repaired, but the repair bill was way less expensive than I expected.","My car needed repaired, but the repair bill was way less expensive than I expected.",True,1,achievement,achievement,1
9205,1930,21,USA,m,single,n,46541,24h,I got a win on H1Z1,I got a win on H1Z1,True,1,achievement,achievement,1
9206,1931,20,USA,f,single,n,67472,3m,I was happy the day I finally got the tattoo that I had been wanting to get for over a year. ,I was happy the day I finally got the tattoo that I had been wanting to get for over a year. ,True,1,achievement,achievement,1
9208,1932,27,USA,m,single,n,92495,3m,I won $20 on a scratch off lottery ticket,I won $20 on a scratch off lottery ticket,True,1,achievement,achievement,1
9209,1933,32,USA,f,single,n,106111,3m,I got a new job. ,I got a new job. ,True,1,achievement,achievement,1
9223,1943,29,USA,f,single,n,59792,3m,"I found an apartment I really liked, and got accepted to take it.","I found an apartment I really liked, and got accepted to take it.",True,1,achievement,achievement,1
9246,1965,25,USA,m,single,n,39452,24h,I bough a new car.,I bough a new car.,True,1,achievement,achievement,1
9250,1967,26,USA,f,single,n,108737,3m,I completed a solo design project at work that was well received by my bosses and the client.,I completed a solo design project at work that was well received by my bosses and the client.,True,1,achievement,achievement,1
9253,1969,37,USA,m,single,n,101589,3m,I won a prize for best volunteer award at a volunteer award party.,I won a prize for best volunteer award at a volunteer award party.,True,1,achievement,achievement,1
9254,1969,37,USA,m,single,n,105752,3m,I decided to go back to school for a graduate degree.,I decided to go back to school for a graduate degree.,True,1,achievement,achievement,1
9258,1976,22,USA,f,single,n,82707,3m,"I just finished all of my courses on Monday 5/8.  I finished Penn State, and my one course at DCCC.  I can transfer my course credit over and I am officially graduated!!  No more schoolwork or stress.","I just finished all of my courses on Monday 5/8.  I finished Penn State, and my one course at DCCC.  I can transfer my course credit over and I am officially graduated!!  No more schoolwork or stress.",True,4,achievement,achievement,1
9270,1978,21,USA,f,single,n,46243,24h,I completed a job application that I had been putting off. ,I completed a job application that I had been putting off. ,True,1,achievement,achievement,1
9287,1990,28,USA,m,single,n,103302,3m,I finally found the perfect house for me and my dog to move into after months of searching the entire city.,I finally found the perfect house for me and my dog to move into after months of searching the entire city.,True,1,achievement,achievement,1
9298,1999,22,USA,f,single,n,99882,3m,I bought a new phone,I bought a new phone,True,1,achievement,achievement,1
9310,2008,24,USA,f,single,n,74063,3m,I was at work per usual and was told that I was going to receive a raise.,I was at work per usual and was told that I was going to receive a raise.,True,1,achievement,achievement,1
9314,2012,28,USA,f,single,n,40030,24h,I got approved for a credit card even though my credit is not so good. It helped me replace part of my car engine.,I got approved for a credit card even though my credit is not so good. It helped me replace part of my car engine.,True,2,achievement,achievement,1
9315,2012,28,USA,f,single,n,44514,24h,An old money making app I used to use started working again because of an update.,An old money making app I used to use started working again because of an update.,True,1,achievement,achievement,1
9324,2017,22,USA,f,single,n,100122,3m,i got a raise at work today,i got a raise at work today,True,1,achievement,achievement,1
9330,2024,27,USA,f,single,n,113128,24h,I got my graduate school acceptance email.,I got my graduate school acceptance email.,True,1,achievement,achievement,1
9341,2034,27,USA,m,single,n,67127,3m,I recently was able to save enough money to buy a cosmetic product I've been wanting for a long time. ,I recently was able to save enough money to buy a cosmetic product I've been wanting for a long time. ,True,1,achievement,achievement,1
9342,2035,23,USA,m,single,n,28372,24h,I finally cleaned out my basement. ,I finally cleaned out my basement. ,True,1,achievement,achievement,1
9343,2035,23,USA,m,single,n,96325,3m,I bought lottery tickets for the first time in a few months.,I bought lottery tickets for the first time in a few months.,True,1,achievement,achievement,1
9351,2041,24,USA,m,single,n,28559,24h,I made the final table of a poker tournament.,I made the final table of a poker tournament.,True,1,achievement,achievement,1
9352,2041,24,USA,m,single,n,29061,24h,I finished all of my work by the end of the day.,I finished all of my work by the end of the day.,True,1,achievement,achievement,1
9354,2043,24,USA,f,single,n,102711,3m,"I won small scratch off lottery, I won 20$. It was good, I bought beers and snacks with it.","I won small scratch off lottery, I won 20$. It was good, I bought beers and snacks with it.",True,2,achievement,achievement,1
9357,2046,23,USA,m,single,n,44054,24h,"I was very happy when I went to the gym and accomplished my goal of bench pressing at least 200 pounds, while being only 155 pounds.","I was very happy when I went to the gym and accomplished my goal of bench pressing at least 200 pounds, while being only 155 pounds.",True,1,achievement,achievement,1
9358,2046,23,USA,m,single,n,108219,3m,"I was happy when I finally was able to find the shoes in my size, which had been out of stock for so long.","I was happy when I finally was able to find the shoes in my size, which had been out of stock for so long.",True,1,achievement,achievement,1
9359,2047,47,USA,m,single,y,53090,24h,I did not succumb to having a beer after release from detox.,I did not succumb to having a beer after release from detox.,True,1,achievement,achievement,1
9360,2047,47,USA,m,single,y,55899,24h,I was able to go one more day of soberness since quitting a week ago yesterday,I was able to go one more day of soberness since quitting a week ago yesterday,True,1,achievement,achievement,1
9361,2047,47,USA,m,single,y,91340,3m,I finally got a new job after several months of looking.,I finally got a new job after several months of looking.,True,1,achievement,achievement,1
9375,2058,26,USA,f,single,n,49692,24h,I was able to teach my dog how to properly shake.,I was able to teach my dog how to properly shake.,True,1,achievement,achievement,1
9377,2060,20,USA,m,single,n,75573,3m,An event that made me happy was getting a compliment on my appearance.,An event that made me happy was getting a compliment on my appearance.,True,1,achievement,achievement,1
9392,2069,30,USA,f,single,n,57796,24h,I got free breakfast. ,I got free breakfast. ,True,1,achievement,enjoy_the_moment,1
9400,2076,23,USA,m,single,n,94455,3m,I completed a side gig that I spent two days on.,I completed a side gig that I spent two days on.,True,1,achievement,achievement,1
9403,2079,24,USA,f,single,n,29490,24h,I got my paycheck.,I got my paycheck.,True,1,achievement,achievement,1
9407,2082,55,USA,f,single,n,34375,24h,i finished a dollar hit,i finished a dollar hit,True,1,achievement,achievement,1
9409,2082,55,USA,f,single,n,65379,3m,i made over 30.00 in one day on mtruk.,i made over 30.00 in one day on mturk.,False,1,achievement,achievement,1
9417,2087,29,USA,m,single,n,54890,24h,I saw my payment from a job had posted which allows me to make a purchase I've been wanting.,I saw my payment from a job had posted which allows me to make a purchase I've been wanting.,True,1,achievement,achievement,1
9422,2090,37,USA,m,single,y,94169,3m,Getting central air installed in my house last week.,Getting central air installed in my house last week.,True,1,achievement,achievement,1
9424,2090,37,USA,m,single,y,116208,24h,I was happy I finally got my yard cut and organized.,I was happy I finally got my yard cut and organized.,True,1,achievement,achievement,1
9433,2099,23,USA,m,single,n,116814,24h,Receiving a 15 dollar tip from work.,Receiving a 15 dollar tip from work.,True,1,achievement,achievement,1
9438,2102,22,USA,m,single,n,50226,24h,I slow-cooked a delicious meal in the crock pot with healthy ingredients.,I slow-cooked a delicious meal in the crock pot with healthy ingredients.,True,1,achievement,achievement,1
9441,2106,26,USA,m,single,n,79771,3m,"Getting a bonus at work, it made me feel happy that my work was being appreciated.","Getting a bonus at work, it made me feel happy that my work was being appreciated.",True,1,achievement,achievement,1
9471,2130,26,USA,m,single,n,126186,24h,I cooked tacos and they were really good,I cooked tacos and they were really good,True,1,achievement,achievement,1
9482,2140,27,USA,f,single,n,98254,3m,I was happy because I booked an amazing trip to Greece. ,I was happy because I booked an amazing trip to Greece. ,True,1,achievement,achievement,1
9490,2150,33,USA,f,single,y,90983,3m,I bought tickets to LegoLand for my daughter and I.,I bought tickets to LegoLand for my daughter and I.,True,1,achievement,affection,1
9491,2150,33,USA,f,single,y,103998,3m,I got a new cell phone.,I got a new cell phone.,True,1,achievement,achievement,1
9506,2164,24,USA,m,single,n,120757,24h,My mechanic called to tell me that my car will be ready to be picked up two days sooner than expected.,My mechanic called to tell me that my car will be ready to be picked up two days sooner than expected.,True,1,achievement,achievement,1
9514,2167,46,USA,m,single,n,116928,24h,I was driving today going to a town hall when I received word that I would get another title search in a town nearby and that meant more money earned today.  ,I was driving today going to a town hall when I received word that I would get another title search in a town nearby and that meant more money earned today.  ,True,1,achievement,achievement,1
9515,2169,24,USA,f,single,n,29503,24h,I was accepted for a higher paying study on mechanical turk. I need the money and I was thrilled that I could earn the extra money in this way.,I was accepted for a higher paying study on mechanical turk. I need the money and I was thrilled that I could earn the extra money in this way.,True,2,achievement,achievement,1
9518,2169,24,USA,f,single,n,86107,3m,I was chosen to represent my place of employment at a job fair. ,I was chosen to represent my place of employment at a job fair. ,True,1,achievement,achievement,1
9525,2172,23,USA,m,single,n,118067,24h,I got a new car.,I got a new car.,True,1,achievement,achievement,1
9530,2178,21,USA,f,single,n,29799,24h,Making money on amazon turk made me happy this month.,Making money on amazon turk made me happy this month.,True,1,achievement,achievement,1
9537,2184,52,USA,f,single,n,34687,24h,I made homemade tomato sauce.,I made homemade tomato sauce.,True,1,achievement,achievement,1
9557,2204,41,USA,m,single,n,93544,3m,I hit a long range shot into my wastebasket with a rolled up piece of paper. ,I hit a long range shot into my wastebasket with a rolled up piece of paper. ,True,1,achievement,achievement,1
9558,2205,28,USA,m,single,n,41472,24h,I figured out how to save money on health care bill by paying with HSA pre tax dollars.,I figured out how to save money on health care bill by paying with HSA pre tax dollars.,True,1,achievement,achievement,1
9573,2215,25,USA,m,single,n,101014,3m,I finally finished the automation test for the software we develop at work.  It walks through the entire lifecycle of a trade of a security in the stock market recording all of the data in our software as it goes along.  A great accomplishment for me early in my career,I finally finished the automation test for the software we develop at work.  It walks through the entire lifecycle of a trade of a security in the stock market recording all of the data in our software as it goes along.  A great accomplishment for me early in my career,True,3,achievement,achievement,1
9576,2219,18,USA,m,single,n,99173,3m,I passed my math class which was important in me being able to continue college,I passed my math class which was important in me being able to continue college,True,1,achievement,achievement,1
9577,2221,26,USA,m,single,n,106799,3m,I helped a lost cat get back to its owner.,I helped a lost cat get back to its owner.,True,1,achievement,achievement,1
9579,2223,26,USA,m,single,n,116984,24h,Completed a task that I was working on for work. Which it came out very nice. ,Completed a task that I was working on for work. Which it came out very nice. ,True,2,achievement,achievement,1
9582,2225,28,USA,f,single,n,52456,24h,I received information about a possible job offer that would be longer than usual gigs,I received information about a possible job offer that would be longer than usual gigs,True,1,achievement,achievement,1
9589,2228,25,USA,m,single,n,87050,3m,I made a 97 on one of my tests in Solid Mechanics class.,I made a 97 on one of my tests in Solid Mechanics class.,True,1,achievement,achievement,1
9591,2230,49,USA,f,single,n,41272,24h,I stepped on the scale and saw that I had lost 3 pounds.,I stepped on the scale and saw that I had lost 3 pounds.,True,1,achievement,achievement,1
9592,2230,49,USA,f,single,n,63521,3m,I received an escrow refund check.,I received an escrow refund check.,True,1,achievement,achievement,1
9593,2230,49,USA,f,single,n,66517,3m,I received a positive review at work.,I received a positive review at work.,True,1,achievement,achievement,1
9603,2236,20,USA,m,single,n,32029,24h,Receiving a phone interview request to the internship I applied for ,Receiving a phone interview request to the internship I applied for ,True,1,achievement,achievement,1
9605,2236,20,USA,m,single,n,50110,24h,Completing my anthropology 102 test and feeling pretty good about it.,Completing my anthropology 102 test and feeling pretty good about it.,True,1,achievement,achievement,1
9610,2242,21,USA,m,single,n,31574,24h,"Being more financially conscious , i am wasting less money on things I can live without.","Being more financially conscious , i am wasting less money on things I can live without.",True,1,achievement,achievement,1
9633,2261,54,USA,f,single,n,77044,3m,"I was able to get tickets to see Madame Butterfly at the Kennedy Center for $35 instead of almost $200, the usual price. ","I was able to get tickets to see Madame Butterfly at the Kennedy Center for $35 instead of almost $200, the usual price. ",True,1,achievement,achievement,1
9634,2261,54,USA,f,single,n,115367,24h,I made $100 as an audience member for the taping of a PBS special. ,I made $100 as an audience member for the taping of a PBS special. ,True,1,achievement,achievement,1
9635,2263,21,USA,m,single,n,28661,24h,My professor gave me an extension on an assignment,My professor gave me an extension on an assignment,True,1,achievement,achievement,1
9643,2271,29,USA,f,single,n,50161,24h,"Got a work project with excellent timing, and I could use the extra money.","Got a work project with excellent timing, and I could use the extra money.",True,1,achievement,achievement,1
9647,2272,27,USA,m,single,n,42099,24h,i bought a new car for which i saved for a very long time and finally today i bought it,i bought a new car for which i saved for a very long time and finally today i bought it,True,1,achievement,achievement,1
9664,2293,32,USA,m,single,n,70278,3m,Hearing that my sister-in-law passed all her exams.,Hearing that my sister-in-law passed all her exams.,True,1,achievement,affection,1
9665,2294,28,USA,f,single,n,99996,3m,I was happy when I was able to lose several pounds after a week of dieting. ,I was happy when I was able to lose several pounds after a week of dieting. ,True,1,achievement,achievement,1
9673,2298,25,USA,f,single,n,111646,24h,I received a compliment at work.,I received a compliment at work.,True,1,achievement,achievement,1
9674,2298,25,USA,f,single,n,115976,24h,I was approved for a new apartment lease.,I was approved for a new apartment lease.,True,1,achievement,achievement,1
9676,2299,21,USA,m,single,n,97558,3m,I did not fail a final that I thought I would fail.,I did not fail a final that I thought I would fail.,True,1,achievement,achievement,1
9679,2301,32,USA,m,single,n,117451,24h,I found $5 in a coat pocket.,I found $5 in a coat pocket.,True,1,achievement,achievement,1
9702,2320,25,USA,f,single,n,84411,3m,I received a bonus at work.,I received a bonus at work.,True,1,achievement,achievement,1
9703,2320,25,USA,f,single,n,98833,3m,I was able to leave work early on Tuesday.,I was able to leave work early on Tuesday.,True,1,achievement,achievement,1
9704,2320,25,USA,f,single,n,106032,3m,I went to the farmers market Saturday afternoon and got amazing giant eggplants to make eggplant Parmesan. ,I went to the farmers market Saturday afternoon and got amazing giant eggplants to make eggplant Parmesan. ,True,1,achievement,achievement,1
9723,2336,26,USA,m,single,n,94362,3m,I recently put a down payment down to get started on building a new house and I have been waiting and wanting to get a house for several years now.,I recently put a down payment down to get started on building a new house and I have been waiting and wanting to get a house for several years now.,True,1,achievement,achievement,1
9726,2337,21,USA,m,single,n,62323,3m,"Got an A on an exam, amazing feeling!","Got an A on an exam, amazing feeling!",True,1,achievement,achievement,1
9727,2337,21,USA,m,single,n,116083,24h,"Just got my grade back for my final project for college class today, I was relieved when I got an A+!","Just got my grade back for my final project for college class today, I was relieved when I got an A+!",True,1,achievement,achievement,1
9738,2344,29,USA,m,single,n,61630,3m,I had a student write to thank me for my work with her in the last semester.,I had a student write to thank me for my work with her in the last semester.,True,1,achievement,achievement,1
9745,2349,21,USA,f,single,n,37667,24h,"This morning, I received an email saying that my research project on diabetes has been approved.","This morning, I received an email saying that my research project on diabetes has been approved.",True,1,achievement,achievement,1
9753,2354,25,USA,m,single,n,48355,24h,An event that made me happy in the past 24 hours was finding 20 dollars in my room.,An event that made me happy in the past 24 hours was finding 20 dollars in my room.,True,1,achievement,achievement,1
9757,2357,23,USA,m,single,n,104235,3m,I was able to pass the first round of a job interview.,I was able to pass the first round of a job interview.,True,1,achievement,achievement,1
9758,2357,23,USA,m,single,n,123208,24h,I won one dollar from a sweepstakes contest.,I won one dollar from a sweepstakes contest.,True,1,achievement,achievement,1
